"raceId","positionOrder","driver_name","constructor_name","year","round","circuitId","status","std_avg_lap"
952,15,"Felipe Nasr","Sauber",2016,5,4,"+1 Lap",0.463957026609752
952,16,"Pascal Wehrlein","Manor Marussia",2016,5,4,"+1 Lap",0.506076574125215
952,17,"Rio Haryanto","Manor Marussia",2016,5,4,"+1 Lap",0.531161543101434
952,18,"Romain Grosjean","Haas F1 Team",2016,5,4,"Engine",0.535490957595741
952,19,"Fernando Alonso","McLaren",2016,5,4,"Engine",0.534366239926094
952,20,"Nico Hülkenberg","Force India",2016,5,4,"Engine",0.899248764334962
953,1,"Lewis Hamilton","Mercedes",2016,6,6,"Finished",0.236807793910164
953,2,"Daniel Ricciardo","Red Bull",2016,6,6,"Finished",0.244691372666706
953,3,"Sergio Pérez","Force India",2016,6,6,"Finished",0.251836817118816
953,4,"Sebastian Vettel","Ferrari",2016,6,6,"Finished",0.254033826587514
953,5,"Fernando Alonso","McLaren",2016,6,6,"Finished",0.329293087110839
953,6,"Nico Hülkenberg","Force India",2016,6,6,"Finished",0.337906103449511
953,7,"Nico Rosberg","Mercedes",2016,6,6,"Finished",0.338222446722838
953,8,"Carlos Sainz","Toro Rosso",2016,6,6,"+1 Lap",0.339854423367637
953,9,"Jenson Button","McLaren",2016,6,6,"+1 Lap",0.359000031601768
953,10,"Felipe Massa","Williams",2016,6,6,"+1 Lap",0.363004025133307
953,11,"Esteban Gutiérrez","Haas F1 Team",2016,6,6,"+1 Lap",0.423241222649425
953,12,"Valtteri Bottas","Williams",2016,6,6,"+1 Lap",0.422222604933067
953,13,"Romain Grosjean","Haas F1 Team",2016,6,6,"+2 Laps",0.528857259845874
953,14,"Pascal Wehrlein","Manor Marussia",2016,6,6,"+2 Laps",0.526325741253017
953,15,"Rio Haryanto","Manor Marussia",2016,6,6,"+4 Laps",0.672569374849711
953,16,"Marcus Ericsson","Sauber",2016,6,6,"Collision",1.09077841061877
953,17,"Felipe Nasr","Sauber",2016,6,6,"Retired",1.18810596365379
953,18,"Max Verstappen","Red Bull",2016,6,6,"Accident",1.37818525891602
953,19,"Kevin Magnussen","Renault",2016,6,6,"Retired",1.87207402421072
953,20,"Daniil Kvyat","Toro Rosso",2016,6,6,"Accident",2.77012567376396
953,21,"Kimi Räikkönen","Ferrari",2016,6,6,"Accident",3.23233725825409
953,22,"Jolyon Palmer","Renault",2016,6,6,"Accident",3.80848781097959
954,1,"Lewis Hamilton","Mercedes",2016,7,7,"Finished",-0.393294318417212
954,2,"Sebastian Vettel","Ferrari",2016,7,7,"Finished",-0.391106900677666
954,3,"Valtteri Bottas","Williams",2016,7,7,"Finished",-0.373030038571855
954,4,"Max Verstappen","Red Bull",2016,7,7,"Finished",-0.370149858518872
954,5,"Nico Rosberg","Mercedes",2016,7,7,"Finished",-0.36618928355362
954,6,"Kimi Räikkönen","Ferrari",2016,7,7,"Finished",-0.365785936119707
954,7,"Daniel Ricciardo","Red Bull",2016,7,7,"Finished",-0.365516601307234
954,8,"Nico Hülkenberg","Force India",2016,7,7,"+1 Lap",-0.352607218562535
954,9,"Carlos Sainz","Toro Rosso",2016,7,7,"+1 Lap",-0.350086961375008
954,10,"Sergio Pérez","Force India",2016,7,7,"+1 Lap",-0.348935552362959
954,11,"Fernando Alonso","McLaren",2016,7,7,"+1 Lap",-0.336756302113207
954,12,"Daniil Kvyat","Toro Rosso",2016,7,7,"+1 Lap",-0.33415588914446
954,13,"Esteban Gutiérrez","Haas F1 Team",2016,7,7,"+2 Laps",-0.322906544946814
954,14,"Romain Grosjean","Haas F1 Team",2016,7,7,"+2 Laps",-0.322649509817359
954,15,"Marcus Ericsson","Sauber",2016,7,7,"+2 Laps",-0.319059106523058
954,16,"Kevin Magnussen","Renault",2016,7,7,"+2 Laps",-0.312922617488391
954,17,"Pascal Wehrlein","Manor Marussia",2016,7,7,"+2 Laps",-0.309429276410807
954,18,"Felipe Nasr","Sauber",2016,7,7,"+2 Laps",-0.303895381971595
954,19,"Rio Haryanto","Manor Marussia",2016,7,7,"+2 Laps",-0.289613755250759
954,20,"Felipe Massa","Williams",2016,7,7,"Retired",-0.326913108914748
954,21,"Jolyon Palmer","Renault",2016,7,7,"Retired",-0.247935531477844
954,22,"Jenson Button","McLaren",2016,7,7,"Power Unit",-0.290525311264443
955,1,"Nico Rosberg","Mercedes",2016,8,73,"Finished",-0.750700536305395
955,2,"Sebastian Vettel","Ferrari",2016,8,73,"Finished",-0.732474741883001
955,3,"Sergio Pérez","Force India",2016,8,73,"Finished",-0.723146794270412
955,4,"Kimi Räikkönen","Ferrari",2016,8,73,"Finished",-0.720023651131764
955,5,"Lewis Hamilton","Mercedes",2016,8,73,"Finished",-0.689203762899355
955,6,"Valtteri Bottas","Williams",2016,8,73,"Finished",-0.684235771139899
