"resultId","raceId","driverId","constructorId","positionOrder","laps","fastestLapSpeed","statusId","driver_name","constructor_name","year","round","circuitId","race_name","status","circuit_name","total_time","avg_lap","circuit_avg_lap","circuit_lap_sd","std_avg_lap"
114,23,22,11,6,76,"151.104",1,"Rubens Barrichello","Honda",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7271150,95673.0263157895,89119.1876576058,11793.4204560648,0.555719918797042
115,23,6,3,7,76,"150.469",1,"Kazuki Nakajima","Williams",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7272922,95696.3421052632,89119.1876576058,11793.4204560648,0.557696935520946
116,23,5,1,8,76,"155.586",1,"Heikki Kovalainen","McLaren",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7275933,95735.9605263158,89119.1876576058,11793.4204560648,0.561056301974489
117,23,8,6,9,76,"156.789",1,"Kimi Räikkönen","Ferrari",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7276534,95743.8684210526,89119.1876576058,11793.4204560648,0.561726836427687
118,23,4,4,10,75,"154.413",11,"Fernando Alonso","Renault",2008,6,6,"Monaco Grand Prix","+1 Lap","Circuit de Monaco",7265210,96869.4666666667,89119.1876576058,11793.4204560648,0.657169736119709
119,23,18,11,11,75,"151.089",11,"Jenson Button","Honda",2008,6,6,"Monaco Grand Prix","+1 Lap","Circuit de Monaco",7272175,96962.3333333333,89119.1876576058,11793.4204560648,0.665044183317842
120,23,10,7,12,75,"151.021",11,"Timo Glock","Toyota",2008,6,6,"Monaco Grand Prix","+1 Lap","Circuit de Monaco",7274066,96987.5466666667,89119.1876576058,11793.4204560648,0.66718209855857
121,23,15,7,13,75,"150.620",11,"Jarno Trulli","Toyota",2008,6,6,"Monaco Grand Prix","+1 Lap","Circuit de Monaco",7275217,97002.8933333333,89119.1876576058,11793.4204560648,0.668483389114931
122,23,2,2,14,72,"149.829",14,"Nick Heidfeld","BMW Sauber",2008,6,6,"Monaco Grand Prix","+4 Laps","Circuit de Monaco",7255670,100773.194444444,89119.1876576058,11793.4204560648,0.988178690843297
123,23,16,10,15,67,"146.564",4,"Adrian Sutil","Force India",2008,6,6,"Monaco Grand Prix","Collision","Circuit de Monaco",6531228,97481.0149253731,89119.1876576058,11793.4204560648,0.709024773509815
124,23,3,3,16,59,"147.951",3,"Nico Rosberg","Williams",2008,6,6,"Monaco Grand Prix","Accident","Circuit de Monaco",5708296,96750.7796610169,89119.1876576058,11793.4204560648,0.647105903825094
125,23,12,4,17,47,"131.860",3,"Nelson Piquet Jr.","Renault",2008,6,6,"Monaco Grand Prix","Accident","Circuit de Monaco",4698063,99958.7872340426,89119.1876576058,11793.4204560648,0.919122625774144
126,23,21,10,18,36,"129.500",6,"Giancarlo Fisichella","Force India",2008,6,6,"Monaco Grand Prix","Gearbox","Circuit de Monaco",3656637,101573.25,89119.1876576058,11793.4204560648,1.05601783543549
127,23,14,9,19,7,"117.753",3,"David Coulthard","Red Bull",2008,6,6,"Monaco Grand Prix","Accident","Circuit de Monaco",735453,105064.714285714,89119.1876576058,11793.4204560648,1.35206971442356
128,23,7,5,20,7,"118.872",4,"Sébastien Bourdais","Toro Rosso",2008,6,6,"Monaco Grand Prix","Collision","Circuit de Monaco",738440,105491.428571429,89119.1876576058,11793.4204560648,1.38825211691688
